species,decimalLatitude,decimalLongitude,prediction
Aesculus indica,31.104811,77.173733,6
Aethaloessa calidalis,10.76772,75.925903,1
Aethaloessa calidalis,12.42442,75.738182,3
Aethaloessa calidalis,26.407763,90.268753,2
Aetholix flavibasalis,24.43202,92.330688,2
Aethopyga nipalensis,26.88666,88.276909,2
Aethopyga saturata,28.216534,95.796234,2
Aethopyga siparaja,25.143524,94.28334,2
Aethopyga siparaja,26.164135,90.625153,2
Aethopyga siparaja,29.569574,79.077187,6
Aethopyga vigorsii,15.50128,73.771464,3
Aethopyga vigorsii,26.523851,93.962334,2
Aethriamanta brevipennis,9.7461,76.3072,1
Aethriamanta brevipennis,10.297582,76.256602,1
Aethriamanta brevipennis,22.68308,88.32224,4
Aetius decollatus,12.626927,80.192711,7
Aetomylaeus maculatus,13.347199,74.691925,3
Aganope thyrsiflora,11.895834,75.748413,1
Agapetes odontocera,25.143525,94.283342,2
Agapetes serpens,27.33872,88.608986,2
Agathia lycaenaria,8.941641,76.753858,1
Agathia lycaenaria,24.43202,92.330688,2
Agathodes ostentalis,13.502664,75.090317,3
Agathodes ostentalis,28.569129,95.056736,2
Agathodes ostentalis,32.228485,76.170097,6
Agave amica,22.680816,88.35242,4
Ageratina adenophora,10.360729,76.978905,1
Ageratina adenophora,29.5315,79.2375,6
Ageratina adenophora,29.589241,79.646666,6
Ageratum conyzoides,9.440478,77.160347,1
Ageratum conyzoides,13.149206,80.241498,7
Ageratum conyzoides,26.108429,91.785652,2
Aglaia elaeagnoidea,10.206068,76.197211,1
Aglaia simplicifolia,12.42442,75.738182,3
Aglaia simplicifolia,12.572492,75.659454,3
Aglaia tomentosa,9.425015,77.174965,1
Aglais caschmirensis,25.5929,91.8802,2
Aglais caschmirensis,27.279013,88.594147,2
Aglais caschmirensis,29.698478,79.759577,6
Aglais caschmirensis,29.846527,79.567508,6
Aglais caschmirensis,30.461899,78.098167,6
Aglais caschmirensis,30.465218,78.012733,6
Aglais caschmirensis,34.137184,75.03775,6
Aglaomorpha plagiata,25.095386,94.361652,2
Aglaomorpha plagiata,25.612099,91.897713,2
Agriocnemis kalinga,22.683633,88.334809,4
Agriocnemis kalinga,22.686542,88.321206,4
Agriocnemis kalinga,22.708824,88.333271,4
Agriocnemis kalinga,22.708878,88.333257,4
Agriocnemis kalinga,22.972466,88.444389,4
Agriocnemis kalinga,24.352674,92.344815,2
Agriocnemis keralensis,9.649626,76.381134,1
Agriocnemis lacteola,21.69004,88.249282,4
Agriocnemis lacteola,24.43202,92.330689,2
Agriocnemis lacteola,27.491903,96.212479,2
Agriocnemis pieris,9.9247,76.7702,1
Agriocnemis pieris,9.981636,76.299884,1
Agriocnemis pieris,10.000465,76.740021,1
Agriocnemis pieris,15.968118,74.004578,3
Agriocnemis pygmaea,9.9239,76.7695,1
Agriocnemis pygmaea,11.029475,77.119033,1
Agriocnemis pygmaea,11.410204,76.695032,1
Agriocnemis pygmaea,11.880836,75.954519,1
Agriocnemis pygmaea,12.227628,76.612388,7
Agriocnemis pygmaea,12.302778,76.673611,7
